(2,3)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
(1,5)
(2,3)
(3,7)
